X,elements,lru,rand,opt,cf_lru,lru_wsr,lfu_5,lfu_5_w1,zipf_best_read,staticOpt,lfu20,lfu5_w03,lfu5_w05,lfu5_w01,lfu5_w2,lfu5_w5,lfu5_w7,lfu20_h20_-1,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
13,847042,79118,87764,73821,78018,78962,74385,70427,74220,119467,74377,70154,69529,80434,72134,73708,74213,75687,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,73992,73992,73992,73992,73992,87604,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992
14,847042,79080,86573,72998,77533,78809,73525,69099,73378,115149,73452,68828,68513,77026,71068,72859,73357,74970,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,72923,72923,72923,72923,72923,86360,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923
15,847042,78989,85424,72040,77170,78622,72571,68138,72352,110843,72436,67999,67549,74223,69974,71835,72405,74169,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,71890,71890,71890,71890,71890,85580,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890
16,847042,78899,84588,70895,76145,78382,71568,67166,71304,106615,71443,67190,66707,71647,68855,70627,71297,73398,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,70698,70698,70698,70698,70698,84555,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698
17,847042,78845,83572,69657,75368,78086,70483,66147,70210,102449,70413,66440,65965,69482,67672,69439,70239,72630,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,69528,69528,69528,69528,69528,83801,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528
18,847042,78752,82911,68259,73892,77511,69318,65392,69100,98375,69394,65528,65148,67148,66433,68248,69135,71777,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,68362,68362,68362,68362,68362,82851,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362
19,847042,78593,82192,66800,73297,76816,68101,64606,67979,96183,68322,64649,64436,65901,65454,67013,67955,70997,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,67323,67323,67323,67323,67323,82246,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323
20,847042,78444,81530,65304,71778,75991,67037,63985,66854,94122,67326,63881,63836,64571,64629,65973,66827,70070,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,66331,66331,66331,66331,66331,81395,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331
30,847042,71510,75419,53711,61840,67698,60100,58387,59299,86195,59221,57939,57978,58618,58907,59167,59772,61542,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,58906,58906,58906,58906,58906,75611,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906
40,847042,63301,70727,47087,57381,61210,55325,53997,54174,79682,53865,53537,53734,53744,54019,54340,54848,56003,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,54179,54179,54179,54179,54179,70886,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179
