X,elements,lru,rand,opt,cf_lru,lru_wsr,lfu_5,lfu_5_w1,zipf_best_read,staticOpt,lfu20,lfu5_w03,lfu5_w05,lfu5_w01,lfu5_w2,lfu5_w5,lfu5_w7,lfu20_h20_-1,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
13,847042,228309,263810,174127,215424,229211,312438,377038,305047,441072,306933,433227,403016,484787,336979,319298,313738,227835,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,303098,303098,303098,303098,303098,263721,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098
14,847042,224954,257017,169287,210632,225622,303645,364824,300015,432385,302090,422356,393178,474657,329901,311422,305585,224890,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,294512,294512,294512,294512,294512,256882,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512
15,847042,221481,250983,164523,208625,221815,296532,354000,294833,423711,296067,410107,383773,465662,325034,304138,298307,221789,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,283895,283895,283895,283895,283895,250903,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895
16,847042,217588,246009,159833,203650,217885,290469,344667,291011,415200,290442,398500,376586,454036,319753,296873,292302,218554,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,276121,276121,276121,276121,276121,245688,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121
17,847042,214699,240724,155275,200443,214121,285760,336218,287154,406807,284470,388981,368065,445955,314831,290984,287799,215208,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,268421,268421,268421,268421,268421,241417,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421
18,847042,211240,236043,150893,195601,209985,282226,329104,282157,398606,275299,380393,360533,436498,309117,286420,284164,211451,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,262097,262097,262097,262097,262097,235896,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097
19,847042,207753,232008,146725,193673,205653,279245,323622,276533,389138,267495,371791,353409,427068,304283,281941,280826,207407,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,256934,256934,256934,256934,256934,231928,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934
20,847042,203888,227653,142790,189226,201195,274616,318829,271192,379577,258806,365893,345448,416859,298967,278331,277896,203112,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,253439,253439,253439,253439,253439,227941,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439
30,847042,166299,196981,115133,164635,172148,246798,283100,232866,331497,230977,314406,297925,344351,259722,251256,249323,167379,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,233105,233105,233105,233105,233105,197506,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105
40,847042,145067,177243,99296,156455,153511,219662,253732,217586,299634,211899,285681,275240,312521,243832,230355,225376,149835,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,174634,174634,174634,174634,174634,177504,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634
