X,elements,lru,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,opt,cf_lru,lru_wsr,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
13,847042,79118,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,75742,73992,73992,73992,73992,73992,87604,73821,78018,78962,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992,73992
14,847042,79080,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,75009,72923,72923,72923,72923,72923,86360,72998,77533,78809,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923,72923
15,847042,78989,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,74176,71890,71890,71890,71890,71890,85580,72040,77170,78622,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890,71890
16,847042,78899,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,73266,70698,70698,70698,70698,70698,84555,70895,76145,78382,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698,70698
17,847042,78845,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,72371,69528,69528,69528,69528,69528,83801,69657,75368,78086,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528,69528
18,847042,78752,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,71410,68362,68362,68362,68362,68362,82851,68259,73892,77511,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362,68362
19,847042,78593,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,70389,67323,67323,67323,67323,67323,82246,66800,73297,76816,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323,67323
20,847042,78444,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,69425,66331,66331,66331,66331,66331,81395,65304,71778,75991,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331,66331
30,847042,71510,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,61337,58906,58906,58906,58906,58906,75611,53711,61840,67698,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906,58906
40,847042,63301,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,55929,54179,54179,54179,54179,54179,70886,47087,57381,61210,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179,54179
