X,elements,lru,lfu1_h1_-2,lfu1_h1_-1,lfu1_h1_2,lfu1_h1_inf,lfu3_h1_-2,lfu3_h1_-1,lfu3_h1_2,lfu3_h1_inf,lfu3_h3_-2,lfu3_h3_-1,lfu3_h3_2,lfu3_h3_inf,lfu5_h1_-2,lfu5_h1_-1,lfu5_h1_2,lfu5_h1_inf,lfu5_h3_-2,lfu5_h3_-1,lfu5_h3_2,lfu5_h3_inf,lfu5_h5_-2,lfu5_h5_-1,lfu5_h5_2,lfu5_h5_inf,lfu10_h1_-2,lfu10_h1_-1,lfu10_h1_2,lfu10_h1_inf,lfu10_h3_-2,lfu10_h3_-1,lfu10_h3_2,lfu10_h3_inf,lfu10_h5_-2,lfu10_h5_-1,lfu10_h5_2,lfu10_h5_inf,lfu10_h10_-2,lfu10_h10_-1,lfu10_h10_2,lfu10_h10_inf,lfu20_h1_-2,lfu20_h1_-1,lfu20_h1_2,lfu20_h1_inf,lfu20_h3_-2,lfu20_h3_-1,lfu20_h3_2,lfu20_h3_inf,lfu20_h5_-2,lfu20_h5_-1,lfu20_h5_2,lfu20_h5_inf,lfu20_h10_-2,lfu20_h10_-1,lfu20_h10_2,lfu20_h10_inf,lfu20_h20_-2,lfu20_h20_-1,lfu20_h20_2,lfu20_h20_inf,lfu50_h1_-2,lfu50_h1_-1,lfu50_h1_2,lfu50_h1_inf,lfu50_h3_-2,lfu50_h3_-1,lfu50_h3_2,lfu50_h3_inf,lfu50_h5_-2,lfu50_h5_-1,lfu50_h5_2,lfu50_h5_inf,lfu50_h10_-2,lfu50_h10_-1,lfu50_h10_2,lfu50_h10_inf,lfu50_h20_-2,lfu50_h20_-1,lfu50_h20_2,lfu50_h20_inf,lfu50_h50_-2,lfu50_h50_-1,lfu50_h50_2,lfu50_h50_inf,lfu1_w03,lfu1_w01,lfu1_w05,lfu1_w1,lfu1_w2,rand,opt,cf_lru,lru_wsr,lfu1_w7,lfu3_w03,lfu3_w01,lfu3_w05,lfu3_w1,lfu3_w2,lfu3_w7,lfu5_w03,lfu5_w01,lfu5_w05,lfu5_w1,lfu5_w2,lfu5_w7,lfu10_w03,lfu10_w01,lfu10_w05,lfu10_w1,lfu10_w2,lfu10_w7,lfu20_w03,lfu20_w01,lfu20_w05,lfu20_w1,lfu20_w2,lfu20_w7,lfu50_w03,lfu50_w01,lfu50_w05,lfu50_w1,lfu50_w2,lfu50_w7
13,847042,228309,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,228421,303098,303098,303098,303098,303098,263721,174127,215424,229211,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098,303098
14,847042,224954,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,224927,294512,294512,294512,294512,294512,256882,169287,210632,225622,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512,294512
15,847042,221481,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,221605,283895,283895,283895,283895,283895,250903,164523,208625,221815,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895,283895
16,847042,217588,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,218273,276121,276121,276121,276121,276121,245688,159833,203650,217885,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121,276121
17,847042,214699,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,215089,268421,268421,268421,268421,268421,241417,155275,200443,214121,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421,268421
18,847042,211240,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,211601,262097,262097,262097,262097,262097,235896,150893,195601,209985,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097,262097
19,847042,207753,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,207911,256934,256934,256934,256934,256934,231928,146725,193673,205653,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934,256934
20,847042,203888,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,203965,253439,253439,253439,253439,253439,227941,142790,189226,201195,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439,253439
30,847042,166299,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,169264,233105,233105,233105,233105,233105,197506,115133,164635,172148,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105,233105
40,847042,145067,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,150093,174634,174634,174634,174634,174634,177504,99296,156455,153511,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634,174634
